date, pm25, pm10, o3, no2, so2, co
7/6/2025,24,35,44,22,2,4
7/5/2025,24,37,46,24,2,4
7/4/2025,22,29,40,16,2,3
7/3/2025,30,21,35,18,1,4
7/2/2025,40,30,42,17,2,3
7/1/2025,30,14,29,22,3,6
6/30/2025,36,31,28,21,2,4
6/29/2025,35,32,29,25,2,7
6/28/2025,28,65,31,14,1,5
6/27/2025,32,28,33,19,2,5
6/26/2025,26,33,30,20,2,6
6/25/2025,31,25,32,18,2,5
6/24/2025,29,30,28,21,2,4
6/23/2025,33,27,31,19,2,5
6/22/2025,25,29,29,17,2,6
6/21/2025,28,31,30,20,2,5
6/20/2025,19,28,32,18,2,4
6/19/2025,25,51,31,19,2,5
6/18/2025,27,20,35,17,2,5
6/17/2025,42,37,39,20,1,5
6/16/2025,47,23,28,18,2,7
6/15/2025,45,12,29,19,2,8
6/14/2025,43,23,35,21,2,5
6/13/2025,59,19,28,16,1,6
6/12/2025,44,23,25,18,2,8
6/11/2025,61,19,25,17,2,8
6/10/2025,63,26,42,20,2,7
6/9/2025,54,20,27,19,2,8
6/8/2025,36,28,28,18,3,7
6/7/2025,23,26,32,17,3,5
