date, pm25, pm10, o3, no2, so2, co
7/6/2025,44, , , , , 
7/5/2025,30, ,12,12,2,5
7/4/2025,18, ,40,8,2,5
7/3/2025,23, ,36,7,4,3
7/2/2025,39, ,40,6,3,3
7/1/2025,29, ,27,12,3,6
6/30/2025,30, ,30,11,3,5
6/29/2025,26, ,30,10,4,5
6/28/2025, , ,30,7,2,3
6/20/2025,29, , , , , 
6/19/2025,24, ,30, ,3,5
6/18/2025,24, ,35, ,2,4
6/17/2025,38, ,34, ,2,3
6/16/2025,42, ,29, ,4,6
6/15/2025,43, ,29, , ,5
6/14/2025,41, ,32, , ,4
6/13/2025,46, ,25, , ,4
6/12/2025,40, ,27, , ,5
6/11/2025,51, ,26, , ,5
6/10/2025,49, ,41, , ,5
6/9/2025,46, ,28, , ,6
6/8/2025,37, ,29, , ,4
6/7/2025,25, ,28, , ,4
6/6/2025,48, ,30, , ,3
6/5/2025,56, ,22, , ,7
6/4/2025,60, ,29, , ,5
6/3/2025,49, ,22, ,7,6
6/2/2025,28, ,25, ,8,8
6/1/2025,28, ,31, ,6,4
5/31/2025,42, ,28, ,5,4
5/30/2025,42, ,23, ,5,5
5/29/2025,29, ,26, ,6,5
5/28/2025,35, ,29, ,7,5
5/27/2025,42, ,24, ,7,5
5/26/2025,42, ,30, ,6,4
5/25/2025,39, ,23, ,4,5
5/24/2025,33, ,30, ,1,4
5/23/2025,30, ,28, ,1,4
5/22/2025,45, ,29, ,2,3
5/21/2025,40, ,27, ,4,6
5/20/2025,61, ,27, ,4,7
5/19/2025,58, ,32, ,5,11
5/18/2025,29, ,22, ,4,11
5/17/2025,31, ,27, ,1,6
5/16/2025,41, ,21, ,2,7
5/15/2025,54, ,11, ,3,8
5/14/2025,52, ,19, ,3,7
5/13/2025,41, ,35, ,3,6
5/12/2025,40, ,29, ,4,6
5/11/2025,21, ,28, ,5,7
5/10/2025,28, ,29, ,3,3
5/9/2025,56, ,31, ,5,6
5/8/2025,55, ,38, ,8,10
5/7/2025,54, ,19, ,5,10
5/6/2025,64, ,37, ,2,8
5/5/2025,42, ,27, ,3,10
5/4/2025,43, ,18, ,1,7
5/3/2025,48, ,40, , ,6
5/2/2025,53, ,28, ,1,6
5/1/2025,51, ,40, ,1,8
