date, pm25, pm10, o3, no2, so2, co
7/6/2025,44,52,38,14,3,5
7/5/2025,30, ,12,12,2,5
7/4/2025,18, ,40,8,2,5
7/3/2025,23, ,36,7,4,3
7/2/2025,39, ,40,6,3,3
7/1/2025,29, ,27,12,3,6
6/30/2025,30, ,30,11,3,5
6/29/2025,26, ,30,10,4,5
6/28/2025, , ,30,7,2,3
6/27/2025,32, ,29,9,3,4
6/26/2025,35, ,31,8,2,4
6/25/2025,28, ,33,10,3,5
6/24/2025,31, ,28,11,2,4
6/23/2025,33, ,32,9,3,4
6/22/2025,27, ,30,8,2,5
6/21/2025,29, ,29,10,3,4
6/20/2025,29, ,31,9,2,4
6/19/2025,24, ,30,8,3,5
6/18/2025,24, ,35,7,2,4
6/17/2025,38, ,34,9,2,3
6/16/2025,42, ,29,10,4,6
6/15/2025,43, ,29,8,3,5
6/14/2025,41, ,32,9,2,4
6/13/2025,46, ,25,10,3,4
6/12/2025,40, ,27,8,2,5
6/11/2025,51, ,26,9,3,5
6/10/2025,49, ,41,10,2,5
6/9/2025,46, ,28,8,3,6
6/8/2025,37, ,29,9,2,4
6/7/2025,25, ,28,7,3,4
