date, pm25, o3, no2, so2, co
7/6/2025,27, , , , 
7/5/2025,30,37,19,2,7
7/4/2025,24,33,20,2,7
7/3/2025,33,30,16,5,5
7/2/2025,49,32,19,6,6
7/1/2025,35,19,24,5,9
6/30/2025,41,26,24,6,7
6/29/2025,33,25,20,3,7
6/28/2025, ,24,17,3,5
6/20/2025,45, , , , 
6/19/2025,39,25, ,3,8
6/18/2025,34,28, ,8,6
6/17/2025,52,27, ,3,6
6/16/2025,46,23, ,7,8
6/15/2025,50,21, ,3,7
6/14/2025,48,26, ,7,6
6/13/2025,50,16, ,3,7
6/12/2025,43,21, ,2,7
6/11/2025,64,22, ,5,7
6/10/2025,56,31, ,4,8
6/9/2025,56,21, ,3,9
6/8/2025,40,21, ,2,8
6/7/2025,31,19, ,2,9
6/6/2025,59,21, ,3,8
6/5/2025,62,14, ,4,11
6/4/2025,69,19, ,3,9
6/3/2025,59,13, ,2,9
6/2/2025,36,16, ,3,10
6/1/2025,36,23, ,2,6
5/31/2025,49,20, ,2,7
5/30/2025,50,13, ,2,9
5/29/2025,45,18, ,3,8
5/28/2025,50,21, ,4,7
5/27/2025,54,16, ,5,7
5/26/2025,51,21, ,2,7
5/25/2025,46,17, ,2,9
5/24/2025,35,22, ,2,8
5/23/2025,34,19, ,2,8
5/22/2025,48,21, ,2,7
5/21/2025,51,20, ,3,10
5/20/2025,74,20, ,4,10
5/19/2025,74,21, ,6,16
5/18/2025,40,15, ,4,14
5/17/2025,37,16, ,1,9
5/16/2025,43,12, ,1,10
5/15/2025,65,9, ,1,9
5/14/2025,64,12, ,2,9
5/13/2025,58,25, ,2,8
5/12/2025,42,20, ,3,8
5/11/2025,24,19, ,3,8
5/10/2025,33,19, ,2,6
5/9/2025,71,22, ,2,9
5/8/2025,70,27, ,4,13
5/7/2025,66,13, ,4,15
5/6/2025,72,23, ,5,12
5/5/2025,52,15, ,4,14
5/4/2025,42,12, ,3,12
5/3/2025,54,28, ,2,9
5/2/2025,63,19, ,2,10
5/1/2025,55,27, ,2,13
