date, pm25, o3, no2, so2, co2
7/6/2025,27,35,18,3,6
7/5/2025,30,37,19,2,7
7/4/2025,24,33,20,2,7
7/3/2025,33,30,16,5,5
7/2/2025,49,32,19,6,6
7/1/2025,35,19,24,5,9
6/30/2025,41,26,24,6,7
6/29/2025,33,25,20,3,7
6/28/2025,31,24,17,3,5
6/27/2025,36,28,19,4,6
6/26/2025,29,30,18,3,7
6/25/2025,33,26,20,4,6
6/24/2025,28,29,17,3,6
6/23/2025,35,27,19,4,7
6/22/2025,32,25,18,3,6
6/21/2025,30,28,16,4,7
6/20/2025,45,27,19,3,8
6/19/2025,39,25,18,3,8
6/18/2025,34,28,17,8,6
6/17/2025,52,27,20,3,6
6/16/2025,46,23,18,7,8
6/15/2025,50,21,19,3,7
6/14/2025,48,26,17,7,6
6/13/2025,50,16,20,3,7
6/12/2025,43,21,18,2,7
6/11/2025,64,22,19,5,7
6/10/2025,56,31,17,4,8
6/9/2025,56,21,18,3,9
6/8/2025,40,21,16,2,8
6/7/2025,31,19,17,2,9
