date, pm25, pm10, o3, no2, so2, co2
7/6/2025,41,46,34,16,2,6
7/5/2025,31,35,35,17,2,7
7/4/2025,26,32,37,15,1,5
7/3/2025,21,28,36,15,1,5
7/2/2025,34,38,41,11,2,4
7/1/2025,32,30,28,16,2,5
6/30/2025,33,34,29,16,2,4
6/29/2025,28,31,30,17,1,5
6/28/2025,25,29,31,9,1,6
6/27/2025,29,33,28,14,2,5
6/26/2025,27,30,30,13,1,6
6/25/2025,31,35,32,15,2,5
6/24/2025,24,28,29,12,1,6
6/23/2025,26,32,31,16,2,5
6/22/2025,23,27,27,11,1,4
6/21/2025,28,31,29,14,2,5
6/20/2025,25,29,30,13,1,5
6/19/2025,20,26,32,12,3,11
6/18/2025,20,24,30,11,2,9
6/17/2025,34,38,42,15,2,8
6/16/2025,20,25,28,10,1,8
6/15/2025,27,31,36,14,1,6
6/14/2025,25,29,34,13,2,5
6/13/2025,21,27,31,12,1,5
6/12/2025,20,26,33,11,1,5
6/11/2025,32,36,33,15,1,4
6/10/2025,32,35,44,14,2,4
6/9/2025,36,39,34,16,1,4
6/8/2025,32,34,26,13,1,2
6/7/2025,30,33,29,14,1,2
